Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Park Facility Name,Park Borough,School Name,School Number,School Region,School Code,School Phone Number,School Address,School City,School State,School Zip,School Not Found,School or Citywide Complaint,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Garage Lot Name,Ferry Direction,Ferry Terminal Name,Latitude,Longitude,Location
35081683,12/22/2016 08:20:26 AM,12/22/2016 03:33:04 PM,NYPD,New York City Police Department,Homeless Encampment,N/A,Street/Sidewalk,10463,2500 JOHNSON AVENUE,JOHNSON AVENUE,BEND,KAPPOCK STREET,,,ADDRESS,BRONX,,Precinct,Closed,12/22/2016 04:20:26 PM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,12/22/2016 03:33:04 PM,08 BRONX,BRONX,1006965,258862,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.87716146295538,-73.9178611535989,"(40.87716146295538, -73.9178611535989)"
35080719,12/21/2016 11:11:56 PM,12/22/2016 12:34:53 AM,NYPD,New York City Police Department,Homeless Encampment,N/A,Park/Playground,11213,,,,,DEAN STREET,TROY AVENUE,INTERSECTION,BROOKLYN,,Precinct,Closed,12/22/2016 07:11:56 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,12/22/2016 12:34:53 AM,08 BROOKLYN,BROOKLYN,1002003,185612,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.67612101826503,-73.93599757603873,"(40.67612101826503, -73.93599757603873)"
35079477,12/21/2016 08:24:45 PM,12/21/2016 10:59:13 PM,NYPD,New York City Police Department,Homeless Encampment,N/A,Street/Sidewalk,10011,,,,,WEST   14 STREET,7 AVENUE,INTERSECTION,NEW YORK,,Precinct,Closed,12/22/2016 04:24:45 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,12/21/2016 10:58:27 PM,02 MANHATTAN,MANHATTAN,984338,208351,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.738551998380736,-73.9996824485918,"(40.738551998380736, -73.9996824485918)"
35078387,12/22/2016 12:42:24 AM,12/22/2016 03:30:07 AM,NYPD,New York City Police Department,Homeless Encampment,N/A,Street/Sidewalk,10010,60 WEST 23 STREET,WEST 23 STREET,5 AVENUE,AVENUE OF THE AMERICAS,,,ADDRESS,NEW YORK,,Precinct,Closed,12/22/2016 08:42:24 AM,The Police Department responded to the complaint and took action to fix the condition.,12/22/2016 03:30:07 AM,05 MANHATTAN,MANHATTAN,986625,209724,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.74232022359292,-73.99142923577988,"(40.74232022359292, -73.99142923577988)"
35076076,12/21/2016 03:34:37 PM,12/21/2016 04:36:34 PM,NYPD,New York City Police Department,Homeless Encampment,N/A,Street/Sidewalk,10011,,,,,WEST   14 STREET,7 AVENUE,INTERSECTION,NEW YORK,,Precinct,Closed,12/21/2016 11:34:37 PM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,12/21/2016 04:35:26 PM,02 MANHATTAN,MANHATTAN,984338,208351,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.738551998380736,-73.9996824485918,"(40.738551998380736, -73.9996824485918)"
35136021,12/30/2016 05:12:47 AM,12/30/2016 07:26:00 AM,NYPD,New York City Police Department,Homeless Encampment,N/A,Street/Sidewalk,10017,MADISON AVENUE,MADISON AVENUE,EAST 45 STREET,EAST 46 STREET,,,BLOCKFACE,NEW YORK,,Precinct,Closed,12/30/2016 01:12:47 PM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,12/30/2016 07:26:00 AM,05 MANHATTAN,MANHATTAN,990443,214359,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.755040281558045,-73.9776467877675,"(40.755040281558045, -73.9776467877675)"
35135322,12/30/2016 08:13:00 AM,12/30/2016 10:42:56 AM,NYPD,New York City Police Department,Homeless Encampment,N/A,Store/Commercial,10012,,,,,WEST    4 STREET,MERCER STREET,INTERSECTION,NEW YORK,,Precinct,Closed,12/30/2016 04:13:00 PM,The Police Department responded to the complaint and took action to fix the condition.,12/30/2016 10:42:24 AM,02 MANHATTAN,MANHATTAN,985619,204802,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.72881076096117,-73.99506063261937,"(40.72881076096117, -73.99506063261937)"
35135162,12/30/2016 02:58:58 AM,12/30/2016 04:15:10 AM,NYPD,New York City Police Department,Homeless Encampment,N/A,Residential Building/House,10016,90 PARK AVENUE,PARK AVENUE,EAST 39 STREET,EAST 40 STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,12/30/2016 10:58:58 AM,The Police Department responded to the complaint and took action to fix the condition.,12/30/2016 04:15:10 AM,06 MANHATTAN,MANHATTAN,990106,212706,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.75050344520206,-73.97886460586147,"(40.75050344520206, -73.97886460586147)"
35133829,12/30/2016 01:38:12 PM,12/30/2016 03:21:05 PM,NYPD,New York City Police Department,Homeless Encampment,N/A,Street/Sidewalk,11414,,,,,155 AVENUE,84 STREET,INTERSECTION,HOWARD BEACH,,Precinct,Closed,12/30/2016 09:38:12 PM,The Police Department responded to the complaint and took action to fix the condition.,12/30/2016 03:21:05 PM,10 QUEENS,QUEENS,1025887,181454,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.66462813655636,-73.84991771305361,"(40.66462813655636, -73.84991771305361)"
35133828,12/30/2016 11:10:48 AM,12/30/2016 01:01:01 PM,NYPD,New York City Police Department,Homeless Encampment,N/A,Residential Building/House,10001,9 WEST 30 STREET,WEST 30 STREET,5 AVENUE,BROADWAY,,,ADDRESS,NEW YORK,,Precinct,Closed,12/30/2016 07:10:48 PM,The Police Department responded to the complaint and took action to fix the condition.,12/30/2016 01:01:01 PM,05 MANHATTAN,MANHATTAN,987847,211135,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.74619265309793,-73.98701859750032,"(40.74619265309793, -73.98701859750032)"
